city,source_type,no,service_name,original_field,dept,ai_flag,budget,executed,exec_rate,status,delay_reason,note,field_code,field_name,service_type,ai_keyword,ai_real,delay_code,geo_tag,imd_code,imd_area
거제시,이행실적,11,수요응답형 버스,스마트 교통,도시계획과,,1000,102,10.2,완료,,거제면콜버스 경남 DRT 시범사업 시행 및 종료,F02,교통,물리제어형,,,,universal,MOB,Mobility
거제시,이행실적,12,스마트클린버스쉘터,스마트 교통,도시계획과,O,1300,90,6.9,추진중,,"IoT 기술 접목 1개소 설치, 26년 3개소 추가 검토",F02,교통,물리제어형,,N,,universal,MOB,Mobility
거제시,이행실적,13,AI 통합돌봄 서비스,스마트 보건·의료복지,노인장애인과,O,220,905,411.4,추진중,,"AI 스피커·빅데이터·IoT 활용, 500대 보급, 26.12.31 사업 종료 예정",F03,보건의료복지,생명안전형,Y,Y,,universal,H&S,Health & Safety
거제시,이행실적,14,스마트 헬스케어 서비스,스마트 보건·의료복지,도시계획과,O,243,406.5,167.3,추진중,,"IoT·AI 기반 어르신 건강관리, 모바일 헬스케어 1,012명 참여",F03,보건의료복지,생명안전형,Y,Y,,universal,H&S,Health & Safety
거제시,이행실적,15,순환자원 회수 로봇,스마트 환경·에너지·수자원,도시계획과,O,250,39,15.6,추진중,구축비 단가 조정에 따른 집행액 하향,IoT 기반 투명페트병 무인회수기 2대 설치,F04,환경에너지수자원,생명안전형,Y,N,,universal,ACT,Activities
거제시,이행실적,16,전기차 충전소 인프라,스마트 환경·에너지·수자원,도시계획과,,1250,0,0,추진중,집행액 없음(환경부 의무이행사항으로 각 시설관리부서 진행),"25년도까지 2,665개소 설치(누적 6,989개소)",F04,환경에너지수자원,생명안전형,,,,universal,ACT,Activities
거제시,이행실적,17,공공건물 에너지 관리 시스템,스마트 환경·에너지·수자원,도시계획과,,500,0,0,미추진,"예산확보 애로로 미추진, 지속 검토",,F04,환경에너지수자원,생명안전형,,,D01,universal,ACT,Activities
거제시,이행실적,18,미세먼지 관리시스템,스마트 환경·에너지·수자원,도시계획과,O,300,360,120,완료,,IoT 기반 미세먼지 측정·신호등 6대 설치,F04,환경에너지수자원,생명안전형,,N,,urban,ACT,Activities
거제시,이행실적,19,쿨링 미스트 서비스,스마트 환경·에너지·수자원,도시계획과,,160,197,123,완료,,"쿨링미스트 1개소·쿨링포그 7개소, 8개소 설치 완료",F04,환경에너지수자원,생명안전형,,,,universal,ACT,Activities
거제시,이행실적,20,안전지역 감시 서비스,스마트 방범·방재,도시계획과,O,460,500,108.7,완료,,"지능형 CCTV·영상분석 기술 적용, 27개소 설치 완료",F05,방범방재,생명안전형,Y,Y,,universal,H&S,Health & Safety
거제시,이행실적,21,자율항행 순찰 드론,스마트 방범·방재,도시계획과,O,600,400,66.7,완료,,자율항행 드론스테이션 1개소 구축·운영,F05,방범방재,생명안전형,Y,Y,,universal,H&S,Health & Safety
거제시,이행실적,22,안전·방범용 스마트폴,스마트 방범·방재,도시계획과,,1900,1398,73.6,완료,,CCTV·센서 연계 지능형 스마트폴 73개소 설치 완료,F05,방범방재,생명안전형,Y,N,,universal,H&S,Health & Safety
거제시,이행실적,23,스마트도시 통합운영센터,스마트 방범·방재,도시계획과,,500,0,0,미추진,"기존 CCTV관제센터 운영 중, 별도 센터 구축 예산 애로, 공모사업 추진 시 검토",,F05,방범방재,생명안전형,,,D01,universal,H&S,Health & Safety
거제시,이행실적,24,거제 네트워크 확충,스마트시설물 관리,도시계획과,,3000,0,0,미추진,"자가망 연동 가능한 시스템 충분히 확보 후 추진, 예산·사업성 검토 필요",IoT·WiFi·CCTV 연동 인프라,F06,시설물관리,물리제어형,,,D07,universal,ACT,Activities
거제시,이행실적,25,스마트도서관,스마트교육,도시계획과,,600,376,62.7,완료,,스마트도서관 2개소 구축·운영,F07,교육,대화행정형,,,,universal,OPP,Opportunities
거제시,이행실적,26,IoT 야외 체육기구,스마트 문화·관광·스포츠,도시계획과,O,35,0,0,미추진,"IoT 야외체육기구 고장률 높고 AS 어려움, 시스템 안정성 확보 후 추진 검토",IoT 센서 기반 운동량 측정,F08,문화관광스포츠,대화행정형,,N,D02,tourism,ACT,Activities
거제시,이행실적,27,스마트관광 빅데이터 시스템,스마트 문화·관광·스포츠,도시계획과,O,1500,0,0,미추진,"한국관광데이터랩 등 기존 시스템으로 대체 가능, 별도 구축 불요 판단",인공지능·빅데이터 활용 관광 정책 수립,F08,문화관광스포츠,대화행정형,Y,Y,D05,tourism,ACT,Activities
거제시,이행실적,28,라이브커머스 공유 스튜디오,스마트 물류,도시계획과,,80,80,100,완료,,전용 스튜디오 1개소 구축·운영,F09,물류,물리제어형,,,,universal,MOB,Mobility
경산시,이행실적,1,스마트 안심 등산로 서비스,Safety Hub,도시과,,171.6,0,0,미추진,예산 미확보 (2027년 연기 검토),"산불·안전 관제, 당초 240.2백만원/53개소",F05,방범방재,생명안전형,,,D01,tourism,H&S,Health & Safety
경산시,이행실적,2,여성 안심홈 서비스,Safety Hub,도시과,,83.7,8,9.6,추진중,,"200가구 대상, 2025년 69세대 설치/8백만원 집행",F05,방범방재,생명안전형,,,,universal,H&S,Health & Safety
경산시,이행실적,3,긴급차량 우선 신호시스템 서비스,Safety Hub,도시과,O,167.5,0,0,미추진,"예산 미확보(ITS예산 삭감), 경찰청 부정적 의견 (2027년 연기 검토)","지능형 신호제어, 당초 654.7백만원/5개소",F05,방범방재,생명안전형,Y,Y,D01,urban,H&S,Health & Safety
경산시,이행실적,4,바디캠 및 실시간 영상 모니터링 서비스,Safety Hub,도시과,O,275.3,0,0,미추진,"예산 미확보, 담당부서 사업 보류 요청","영상분석·실시간 관제, 당초 352.4백만원/222대",F05,방범방재,생명안전형,,Y,D01,universal,H&S,Health & Safety
경산시,이행실적,5,청년창업 스마트 플랫폼,Work In Hub,도시과,,500,0,0,추진중,,"당초 500.0백만원/1개 플랫폼, 강소형 스마트도시 연계",F10,근로고용,대화행정형,,,,universal,OPP,Opportunities
경산시,이행실적,6,스마트경로당 서비스,Play Hub,도시과,,1128.4,339,30.0,추진중,,"72개소 대상, 2025년 15개소/339백만원 완료",F08,문화관광스포츠,대화행정형,,,,universal,ACT,Activities
경산시,이행실적,7,스마트 수변공원 서비스,Play Hub,도시과,,69.3,0,0,미추진,예산 미확보 (공모사업 통해 추진 협의 중),당초 108.9백만원/5개소,F08,문화관광스포츠,대화행정형,,,D01,universal,ACT,Activities
경산시,이행실적,8,모바일 스탬프투어 서비스,Play Hub,도시과,,174.6,0,0,미추진,예산 미확보 (공모사업 통해 추진 협의 중),당초 205.0백만원/5개소,F08,문화관광스포츠,대화행정형,,,D01,tourism,ACT,Activities
경산시,이행실적,9,스마트 미디어시티 아트 솔루션,Play Hub,도시과,O,1150,0,0,추진중,,"생성형 AI 활용 콘텐츠 플랫폼, 강소형 사업 추진중",F08,문화관광스포츠,대화행정형,Y,Y,,universal,ACT,Activities
경산시,이행실적,10,스마트 버스정류장 서비스,Green Hub,도시과,,1089,0,0,추진중,,"당초 1,650.0백만원/12개소, 강소형 사업 연계",F04,환경에너지수자원,생명안전형,,,,universal,ACT,Activities
경산시,이행실적,11,데이터 캡처링 모빌리티,Green Hub,도시과,O,1180,0,0,추진중,,"AI 모빌리티 활용 도시데이터 수집, 350대, 강소형 사업 추진중",F04,환경에너지수자원,생명안전형,Y,Y,,universal,ACT,Activities
경산시,이행실적,12,기후위기 대응 시민행복 솔루션,Green Hub,도시과,,2745,0,0,추진중,,"탄소 데이터 통합·시각화 플랫폼, 측정센서 13개소, 강소형 사업 추진중",F04,환경에너지수자원,생명안전형,,,,universal,ACT,Activities
경산시,이행실적,13,스마트 압축 쓰레기통 서비스,Green Hub,도시과,,164.5,0,0,추진중,,"당초 193.1백만원/5개소 20대, 강소형 사업 추진중",F04,환경에너지수자원,생명안전형,,,,universal,ACT,Activities
경산시,이행실적,14,인공지능 기반 스마트도시 APP,Green Hub,도시과,O,900,0,0,추진중,,"위치·기후 데이터 기반 맞춤형 앱, 강소형 사업 추진중",F04,환경에너지수자원,생명안전형,Y,Y,,universal,ACT,Activities
경산시,이행실적,15,디지털 시민 시장실 서비스,Data Hub,도시과,,880,0,0,미추진,예산 미확보 (공모사업 통해 추진 협의 중),"당초 1,232.0백만원/1개",F01,행정,대화행정형,,,D01,universal,GOV,Governance
경산시,이행실적,16,데이터 통합플랫폼 서비스,Data Hub,도시과,,650,396,60.9,완료,,"2024.12 구축완료, 당초 875.0백만원/1개",F01,행정,대화행정형,,,,universal,GOV,Governance
경산시,이행실적,17,시민참여형 오픈서비스 플랫폼,Data Hub,도시과,,1320,0,0,추진중,,"당초 1,320.0백만원/1개, 강소형 사업 추진중",F01,행정,대화행정형,,,,universal,GOV,Governance
경산시,이행실적,18,데이터 에코체인 플랫폼,Data Hub,도시과,,2510,0,0,추진중,,"영상 기반 데이터 수집·표준화, 당초 2,510.0백만원/1개, 강소형 사업 추진중",F01,행정,대화행정형,,,,universal,GOV,Governance
경주시,이행실적,1,경주로ON 통합관광 플랫폼 (①-1),관광,미래사업과,,10500,9225,87.8,추진중,,"경주로ON 통합관광 플랫폼 구축('23년), 기능개선 고도화('24~'27년)",F08,문화관광스포츠,대화행정형,,,,tourism,ACT,Activities
경주시,이행실적,2,디지털 실감콘텐츠 체험존 (①-2),문화/관광,미래사업과,,108,56,51.8,완료,,"VR·AR 도슨트, 실감콘텐츠 체험존 구축('22년), 리뉴얼('23~'24년)",F08,문화관광스포츠,대화행정형,,,,tourism,ACT,Activities
경주시,이행실적,3,천년 신라왕경 디지털 복원 (①-3),문화/관광,미래사업과,,28500,400,1.4,추진중,,"경주 세계유산 탐방거점센터 건립('24~'29년), 사업기간 연장",F08,문화관광스포츠,대화행정형,,,,tourism,ACT,Activities
경주시,이행실적,4,산업단지 스마트 인프라 구축(산단 대개조 연계) (②-1),산업/경제,미래사업과,O,3000,222,7,추진중,,"지능형 공장(ICT 통합, 인간-기계 유기적 연결); 외동일반산업단지 아름다운거리조성('24~'26년)",F10,근로고용,대화행정형,Y,N,,industrial,OPP,Opportunities
경주시,이행실적,5,상생형 일자리 지원·알림 플랫폼 (②-2),산업/경제,미래사업과,,,,,미추진,조직개편으로 사업 미추진,추진 계획 없음,F10,근로고용,대화행정형,,,D04,industrial,OPP,Opportunities
경주시,이행실적,6,e-모빌리티 배터리 공유스테이션 (②-3),산업/경제,미래사업과,,38055,31030,81.5,추진중,,"'22년 예산 7,538백만원 포함; 배터리 공유스테이션 플랫폼 구축",F10,근로고용,대화행정형,,,,industrial,OPP,Opportunities
경주시,이행실적,7,경주 신농업 혁신농장 조성사업(스마트팜) (②-4),산업/농업,미래사업과,,5000,1293,25.8,추진중,,ICT 접목 원격·자동 농업환경 관리; 스마트팜(농장) 19개소 설치,F10,근로고용,대화행정형,,,,industrial,OPP,Opportunities
경주시,이행실적,8,주차정보통합플랫폼 (③-1),교통,미래사업과,,,,,미추진,스마트도시조성사업 등 국비 공모사업을 통해 추진할 계획,추진 계획 없음,F02,교통,물리제어형,,,D07,urban,MOB,Mobility
경주시,이행실적,9,스마트 안심 버스쉘터 (③-2),교통,미래사업과,,1679,1575,93.8,추진중,,외동읍 스마트 안심 버스쉘터 16개소 구축('23년); 대중교통정보·생활정보 제공,F02,교통,물리제어형,,,,universal,MOB,Mobility
경주시,이행실적,10,스마트 보행안전 지킴이 (③-3),교통/안전,미래사업과,,2010,1910,95,추진중,,"스마트횡단보도 28개소, 스마트감응신호 12개소; 외동읍 11개소('23년)+ITS 17개소('25년)",F02,교통,물리제어형,,,,urban,MOB,Mobility
경주시,이행실적,11,학습이랑 교육지원 플랫폼 (③-4),복지/교육,미래사업과,,206,176,85.4,추진중,,평생학습 종합정보시스템; 기능개선('23~'24년) 및 유지관리,F03,보건의료복지,생명안전형,,,,universal,H&S,Health & Safety
경주시,이행실적,12,어르신 맞춤형 실버케어존 (③-5),복지,미래사업과,,439,0,0,추진중,,ICT 기반 맞춤형 경로당 플랫폼; 스마트 경로당 15개소('26~'27년 구축 예정),F03,보건의료복지,생명안전형,,,,universal,H&S,Health & Safety
경주시,이행실적,13,스마트 자원순환 환경지킴이 - 자원회수로봇 (③-6-1),환경,미래사업과,O,193,157,81.4,추진중,,IoT·AI·빅데이터 접목 분리수거 시스템; 재활용품 무인회수기 8대('23~'25년),F04,환경에너지수자원,생명안전형,Y,Y,,universal,ACT,Activities
경주시,이행실적,14,스마트 자원순환 환경지킴이 - 스마트 음식물 처리기 (③-6-2),환경,미래사업과,,839.1,587.1,69.9,추진중,,RFID 종량기 설치(236대); 스마트 음식물 처리기 3대('23년),F04,환경에너지수자원,생명안전형,,,,universal,ACT,Activities
경주시,이행실적,15,스마트 그늘막 (③-7),환경/안전,미래사업과,O,698,253,36,추진중,,"IoT 접목 첨단센서 및 관제 시스템 통합; 설치 8개소('24년)+13개소('25년), '26년 15개소 예정",F04,환경에너지수자원,생명안전형,,N,,universal,ACT,Activities
경주시,이행실적,16,미세먼지 안전쉼터 (③-8),환경,미래사업과,,201,117,58.2,추진중,,옥외공기정화기술 집약 시설; 4개소 5개동 운영관리('20~'21년 기 구축),F04,환경에너지수자원,생명안전형,,,,universal,ACT,Activities
경주시,이행실적,17,스마트폴 (③-9),안전,미래사업과,O,31,27,87.1,추진중,,"IoT LED 보안등, 지능형 CCTV 통합; 외동읍 스마트폴 2대 구축('23년)",F05,방범방재,생명안전형,Y,Y,,universal,H&S,Health & Safety
경주시,이행실적,18,경주 시민행복제안 리빙랩 플랫폼 (④-1),행정/주민참여,미래사업과,,133,108.5,81.5,추진중,,온·오프라인 커뮤니티 도시문제 발굴·해결; 리빙랩 구축('23년),F01,행정,대화행정형,,,,universal,GOV,Governance
경주시,이행실적,19,지능형 통합방재 알림 시스템 - 문화재 스마트 재난안전 관리 (④-2-1),안전/재난,미래사업과,O,3530.8,1810.8,51.3,추진중,,지능형(서비스명); 문화유산 재난방지시설 구축 3개소 17대+유지관리 53개소 419대,F05,방범방재,생명안전형,Y,N,,tourism,H&S,Health & Safety
경주시,이행실적,20,지능형 통합방재 알림 시스템 - 자동음성통보시스템 (④-2-2),안전/재난,미래사업과,O,5024,3024,50,추진중,,"지능형(서비스명); 재난예·경보 알림서비스; LTE 통신망 개선, 가정용 방송수신기 보급",F05,방범방재,생명안전형,Y,N,,universal,H&S,Health & Safety
경주시,이행실적,21,스마트서비스 통합관리 플랫폼 (④-3),행정/통합,미래사업과,O,360,340,94.4,추진중,,빅데이터 가공·분석 융·복합 서비스; 플랫폼 구축('23년),F01,행정,대화행정형,Y,Y,,universal,GOV,Governance
계룡시,이행실적,1,목조고택 문화재관리 고도화 사업,안전/문화재,시민안전과,O,5,5,100,완료,,"IoT 센서 + 지능형 CCTV 연계, 사계고택 1개소",F05,방범방재,생명안전형,Y,Y,,universal,H&S,Health & Safety
계룡시,이행실적,2,축제형 주차 정보 연계사업,교통,,,,,,미추진,군부대와의 보안협의 난항 및 인프라구축비용 과다,,F02,교통,물리제어형,,,D04,tourism,MOB,Mobility
계룡시,이행실적,3,계룡대로 모니터링 확산사업,교통,,O,,,,미추진(사업중단),국토교통부 사업 미실시,AI 기반 지능형 센서·CCTV 활용 계획이었으나 사업 중단,F02,교통,물리제어형,Y,Y,D06,universal,MOB,Mobility
계룡시,이행실적,4,소외지역 경량형 스마트버스정류장 고도화 사업,교통/복지,건설교통실,,246,246,100,완료,,"스마트버스정류장 4개소 설치(신도안면1, 엄사면1, 두마면2)",F02,교통,물리제어형,,,,universal,MOB,Mobility
계룡시,이행실적,5,CCTV 주차단속 모니터링 확산사업,교통/안전,건설교통실 교통행정팀,O,23.9,23.9,100,완료,,"지능형 CCTV 단속, 차량번호 인식 시스템",F02,교통,물리제어형,Y,Y,,urban,MOB,Mobility
계룡시,이행실적,6,계룡역 스마트주차장 고도화 사업,교통,,,70,70,100,완료,,무인 유료화 관제시스템 1개소,F02,교통,물리제어형,,,,urban,MOB,Mobility
계룡시,이행실적,7,거점지역 종합정보 미디어보드 확산사업,정보제공,시민소통담당관,,10,10,100,완료,,청사 미디어보드 1대,F01,행정,대화행정형,,,,universal,GOV,Governance
계룡시,이행실적,8,하이퍼로컬 계룡 커뮤니티 플랫폼 구축사업,커뮤니티/소통,,,0,0,100,완료,,"SNS 플랫폼 6개 운영(유튜브, 네이버블로그, 네이버밴드, 인스타그램, 페이스북, 카카오톡채널)",F01,행정,대화행정형,,,,universal,GOV,Governance
계룡시,이행실적,9,재난취약계층 IoT화재알림 확산 사업,안전/복지,,,,,,미추진,보건복지부 응급안전안심서비스와 유사한 사업으로 미추진,IoT 화재감지,F05,방범방재,생명안전형,,,D07,universal,H&S,Health & Safety
계룡시,이행실적,10,디지털포용 평생교육 고도화 사업,교육/디지털포용,,,20,20,100,추진중,,"디지털 문해교육 15회, VR/AR 에듀테크 기술 접목",F07,교육,대화행정형,,,,universal,OPP,Opportunities
계룡시,이행실적,11,배리어프리 민원 발급기 고도화사업,행정서비스/복지,,,37,37,100,추진중,,"민원발급기 7개소 배리어프리 고도화, '26.상반기 완료 예정",F01,행정,대화행정형,,,,universal,GOV,Governance
계룡시,이행실적,12,공공시설 전기자동차 충전소 확산사업,환경/에너지,,,,,143,완료,,의무 42대 대비 60대 설치 완료,F04,환경에너지수자원,생명안전형,,,,universal,ACT,Activities
계룡시,이행실적,13,헬스케어 기기 보급사업,보건/복지,,,2.6,2.6,100,완료,,"스마트 헬스케어 기기 50대, 3년간 150명 이용",F03,보건의료복지,생명안전형,,,,universal,H&S,Health & Safety
계룡시,이행실적,14,(치매)독거노인 AI 돌봄로봇 고도화 사업,복지/돌봄,,O,93,93,100,추진중,,"AI 돌봄로봇 35대, 치매고위험군 35가구 이용; 음성인식·활동데이터 실시간 분석",F03,보건의료복지,생명안전형,Y,Y,,universal,H&S,Health & Safety
고령군,이행실적,1,스마트시티 솔루션 확산사업,복합(교통안전·도시관리·복지·관광문화),지역경제실,,4000,3584,89.6,완료,,"추진기간: '23.06~'24.12; 세부사업: 스마트 횡단보도(9개소), 스마트 폴(20개소), 스마트시티 통합플랫폼(1식), 스마트 헬스케어존(16개소), 스마트 고분군 탐방로 관리(14개소)",F02,교통,물리제어형,,,,tourism,MOB,Mobility
공주시,이행실적,1,실감형 디지털파크,관광/문화,,,6400,5476,85.6,완료,,ICT기술 활용 오감 실감콘텐츠 조성,F08,문화관광스포츠,대화행정형,,,,tourism,ACT,Activities
공주시,이행실적,2,공공 WIFI를 활용한 관광서비스,관광/문화,,,,,,미추진,예산편성 내역 없음,,F08,문화관광스포츠,대화행정형,,,D01,tourism,ACT,Activities
공주시,이행실적,3,공공자전거 모바일 대여,교통,,,137,137,100,완료,,키오스크→모바일 대여방식 전환,F02,교통,물리제어형,,,,universal,MOB,Mobility
공주시,이행실적,4,스마트 버스쉘터 및 미세먼지 안심쉼터,교통,,O,153.6,153.6,100,완료,,"IoT 기술 접목, 버스정류장 스마트화",F02,교통,물리제어형,,N,,universal,MOB,Mobility
공주시,이행실적,5,스마트 횡단보도,교통,도시정책과(22)/교통과(23-24),O,2565.1,2544.1,99.1,완료,,AI 영상분석 및 LED 바닥등 활용 보행환경 조성,F02,교통,물리제어형,Y,Y,,urban,MOB,Mobility
공주시,이행실적,6,스마트 상황관제 및 주차정보,교통,,O,2225.8,,,완료,,"주차면 CCTV 영상분석, ITS 통합관제 구축",F02,교통,물리제어형,,Y,,urban,MOB,Mobility
공주시,이행실적,7,스마트 LED 안심보행길,안전,,,121.2,121.2,100,완료,,보행유도등 167대·CCTV 4대·안심벨 2대,F05,방범방재,생명안전형,,,,universal,H&S,Health & Safety
공주시,이행실적,8,스마트 경로당,복지,,,6200,4879,78.7,추진중,,"헬스케어 장비·화상회의 시스템 구축, 1~4차 완료·건강관리 확대 예정",F03,보건의료복지,생명안전형,,,,universal,H&S,Health & Safety
공주시,이행실적,9,이동식 쓰레기 불법투기 감시 CCTV,환경/안전,,,800,165,97*,추진중,,CCTV 140대 설치·운영 (*집행액 165백만원은 이행실적 기간 집행분),F04,환경에너지수자원,생명안전형,,,,universal,ACT,Activities
공주시,이행실적,10,스마트 리모트 셀피,관광/문화,,,,,,미추진,예산편성 내역 없음,,F08,문화관광스포츠,대화행정형,,,D01,tourism,ACT,Activities
공주시,이행실적,11,미니 버스전광판,교통,,,,,,미추진,예산편성 내역 없음,,F02,교통,물리제어형,,,D01,universal,MOB,Mobility
공주시,이행실적,12,교차로 알림이,교통,,O,,,,미추진,도 AI 메타버스 도로생활체계 강화안전사업 실증지 제공을 통해 진행 중,유사사업 진행 중,F02,교통,물리제어형,,N,D07,urban,MOB,Mobility
공주시,이행실적,13,AI기반 방범용CCTV,안전,,O,,,,미추진,예산편성 내역 없음,,F05,방범방재,생명안전형,Y,Y,D01,universal,H&S,Health & Safety
공주시,이행실적,14,전통시장 화재감시,안전,,,,,,미추진,2021년 2개 전통시장 완료 후 추가 계획 없음,,F05,방범방재,생명안전형,,,D07,universal,H&S,Health & Safety
공주시,이행실적,15,치매노인 배회방지 스마트슈즈,복지,,,,,,미추진,사업 전환(배회가능 어르신 인식표 제작·배부로 대체),,F03,보건의료복지,생명안전형,,,D07,universal,H&S,Health & Safety
공주시,이행실적,16,스마트 그늘막,환경,,,241.92,216.7,89.6,추진중,,"30대 목표 중 28개소 설치 완료, 2개소 특교세 확보 후 추진",F04,환경에너지수자원,생명안전형,,,,universal,ACT,Activities
공주시,이행실적,17,인공지능(AI) 객체인식기반 대형 폐기물 처리 서비스,환경,,O,,,,미추진,"기술구현 어려움으로 단순 배출 신청형 앱으로 대체 운영, 시는 인터넷 배출시스템 운영 중",,F04,환경에너지수자원,생명안전형,Y,Y,D05,universal,ACT,Activities
공주시,이행실적,18,스마트 축사,농업,,,245,193.75,79,완료,,ICT 융복합 축사 환경·가축 자동 관리,F10,근로고용,대화행정형,,,,rural,OPP,Opportunities
공주시,이행실적,19,딥러닝 기반 야생동물 농작물 피해 방지 서비스,농업,,O,9.54,6.27,65.7,추진중,,"딥러닝 기반 포획 활동 관리, GPS 안전사고 예방",F10,근로고용,대화행정형,Y,Y,,rural,OPP,Opportunities
과천시,이행실적,1,①-1. 스마트주차장 서비스,교통,도시정책과,,1189,1132,96,완료,,,F02,교통,물리제어형,,,,urban,MOB,Mobility
과천시,이행실적,2,①-2. 수요응답형 버스 서비스,교통,도시정책과,,0,0,,완료,,규제특례 시범사업으로 시 예산 투입 없음,F02,교통,물리제어형,,,,universal,MOB,Mobility
과천시,이행실적,3,①-3. 전기자전거 공유 서비스,교통,도시정책과,,0,0,,추진중,,"민간업체 부담, 2030년까지 PM Station 조성 예정",F02,교통,물리제어형,,,,universal,MOB,Mobility
과천시,이행실적,4,①-4. 주차단속알림시스템 고도화,교통,도시정책과,,693,305,45,완료,,,F02,교통,물리제어형,,,,urban,MOB,Mobility
과천시,이행실적,5,①-5. 이동식 불법 주정차 실시간 모니터링 서비스,교통,도시정책과,,87,87,100,완료,,,F02,교통,물리제어형,,,,urban,MOB,Mobility
과천시,이행실적,6,①-6. 버스장착형 불법주차 무인단속 서비스,교통,도시정책과,,217,184,85,완료,,,F02,교통,물리제어형,,,,urban,MOB,Mobility
과천시,이행실적,7,②-1. 스마트 횡단보도 서비스,안전,도시정책과,,250,250,100,완료,,,F05,방범방재,생명안전형,,,,urban,H&S,Health & Safety
과천시,이행실적,8,②-2. 드론 기반 안심 귀갓길 서비스,안전,도시정책과,,0,0,,미추진,드론 자율운행을 위한 운행프로그램 개발 및 안정성 확보 필요,,F05,방범방재,생명안전형,,,D02,universal,H&S,Health & Safety
과천시,이행실적,9,②-3. 독거노인 응급안전안심 서비스,안전,도시정책과,,338,338,100,추진중,,계속추진(2025년 기준 220가구 운영 중),F05,방범방재,생명안전형,,,,universal,H&S,Health & Safety
과천시,이행실적,10,②-4. 스마트 소화전 서비스,안전,도시정책과,O,373,307,83,완료,,IoT 센서 기반,F05,방범방재,생명안전형,,N,,universal,H&S,Health & Safety
과천시,이행실적,11,③-1. 미세먼지 모니터링 서비스,환경,도시정책과,O,0,0,,완료(기완료),,2017~18년 기구축; IoT 기반 미세먼지 측정센서,F04,환경에너지수자원,생명안전형,,N,,universal,ACT,Activities
과천시,이행실적,12,③-2. 미세먼지 저감 서비스(이끼타워),환경,도시정책과,,0,0,,미추진,설치 및 운영 비용 대비 미세먼지 저감 효과가 극히 미비함,,F04,환경에너지수자원,생명안전형,,,D05,universal,ACT,Activities
과천시,이행실적,13,③-3. 가로공간 스마트 쓰레기통 서비스,환경,도시정책과,O,0,0,,미추진,시설 주변 쓰레기 무단투기 민원 발생 우려 및 데이터 통합 관리·관제 전문인력 부재,IoT 센서 기반 적재량 감지,F04,환경에너지수자원,생명안전형,,N,D05,universal,ACT,Activities
과천시,이행실적,14,③-4. 스마트 분리수거 체험 서비스,환경,도시정책과,,0,0,,미추진,일부 시민 독점 사용과 시설 주변 무단투기 등 민원 발생 우려,,F04,환경에너지수자원,생명안전형,,,D05,universal,ACT,Activities
과천시,이행실적,15,③-5. 대형 폐기물 간편 배출 서비스,환경,도시정책과,,0,0,,미추진,2026년 추진 예정,,F04,환경에너지수자원,생명안전형,,,D06,universal,ACT,Activities
과천시,이행실적,16,③-6. 이동식 쓰레기 모니터링 서비스,환경,도시정책과,,28,27.8,99,완료,,,F04,환경에너지수자원,생명안전형,,,,universal,ACT,Activities
